match,gender,age,int_corr,attr_o,mn_sat,income,imprelig,go_out,date
0.1111111111111111,1.0,25.0,0.28666666666666674,4.111111111111111,1140.0,41476.0,1.0,6.0,7.0
0.3333333333333333,1.0,27.0,0.12222222222222225,7.0,1360.0,49841.0,1.0,1.0,4.0
0.2380952380952381,1.0,26.0,0.4076190476190477,5.809523809523809,1309.0,80608.0,3.0,1.0,4.0
0.19047619047619047,1.0,27.0,0.3195238095238095,6.0,1380.0,53196.0,5.0,3.0,6.0
0.2380952380952381,1.0,28.0,0.14666666666666664,6.095238095238094,1460.0,53229.0,2.0,1.0,4.0
0.19047619047619047,1.0,28.0,0.14142857142857146,7.333333333333332,1290.0,25786.0,1.0,1.0,2.0
0.14285714285714285,1.0,32.0,0.41071428571428575,6.642857142857142,1185.0,30587.0,9.0,2.0,3.0
0.07142857142857142,1.0,25.0,0.16928571428571426,6.071428571428571,1400.0,55080.0,8.0,1.0,3.0
0.07142857142857142,1.0,29.0,0.09071428571428572,7.392857142857142,1430.0,57513.0,1.0,1.0,6.0
0.07142857142857142,1.0,23.0,0.21357142857142855,6.7857142857142865,1400.0,33772.0,1.0,2.0,4.0
0.42857142857142855,1.0,25.0,0.27,7.538461538461537,1400.0,31857.0,3.0,1.0,4.0
0.0,1.0,36.0,0.3628571428571429,5.5,1242.0,23207.0,8.0,5.0,5.0
0.05,1.0,34.0,0.4089473684210527,4.166666666666667,1430.0,35187.0,5.0,6.0,6.0
0.4,1.0,25.0,0.2921052631578947,6.4,1310.0,31148.0,8.0,3.0,5.0
0.05,1.0,28.0,0.0936842105263158,7.9411764705882355,1360.0,55704.0,4.0,1.0,4.0
0.15,1.0,27.0,0.1242105263157895,6.647058823529411,1400.0,46138.0,7.0,2.0,5.0
0.1,1.0,25.0,0.2478947368421053,6.421052631578947,1320.0,66827.0,7.0,2.0,5.0
0.05,1.0,29.0,0.1531578947368421,6.5555555555555545,1159.0,42897.0,2.0,2.0,5.0
0.0,1.0,30.0,0.41777777777777786,5.388888888888888,1130.0,55080.0,1.0,5.0,5.0
0.16666666666666666,1.0,27.0,-0.2583333333333333,7.222222222222222,1360.0,55080.0,8.0,1.0,5.0
0.05555555555555555,1.0,34.0,0.3544444444444445,7.027777777777778,1206.0,80006.0,2.0,1.0,4.0
0.4444444444444444,1.0,29.0,-0.2238888888888889,6.470588235294117,1460.0,55080.0,10.0,1.0,1.0
0.05555555555555555,1.0,31.0,0.4805555555555556,3.9375,1331.0,52318.0,1.0,2.0,4.0
0.0,1.0,28.0,0.115,3.4166666666666665,1360.0,106663.0,7.0,2.0,4.0
0.0,1.0,28.0,0.265,5.666666666666668,1200.0,84043.0,1.0,3.0,7.0
0.16666666666666666,1.0,27.0,0.4216666666666667,6.833333333333332,1080.0,36381.0,1.0,2.0,2.0
0.0,1.0,27.0,0.294,6.3,1290.0,27794.0,3.0,2.0,6.0
0.0,1.0,26.0,0.014000000000000007,8.4,1470.0,41737.0,1.0,2.0,4.0
0.2,1.0,30.0,0.162,6.5,1130.0,90225.0,1.0,2.0,5.0
0.5,1.0,22.0,0.29900000000000004,7.9,1450.0,55080.0,1.0,1.0,2.0
0.2,1.0,23.0,0.276,7.7,1460.0,52280.0,1.0,1.0,3.0
0.0,1.0,23.0,0.2333333333333333,5.166666666666667,1340.0,16767.0,3.0,3.0,7.0
0.06666666666666668,1.0,23.0,0.484,6.4,1160.0,78844.0,1.0,2.0,3.0
0.0,1.0,25.0,0.4833333333333334,2.333333333333333,1149.0,34870.0,5.0,5.0,6.0
0.3333333333333333,1.0,23.0,0.4783333333333333,6.5,1460.0,35848.0,1.0,2.0,5.0
0.0,1.0,24.0,0.3016666666666667,4.666666666666667,1290.0,45017.0,5.0,2.0,7.0
0.16666666666666666,1.0,24.0,0.07166666666666667,6.0,1267.0,12416.0,1.0,3.0,7.0
0.16666666666666666,1.0,36.0,0.01833333333333333,5.833333333333332,1430.0,87789.0,5.0,1.0,5.0
0.13636363636363635,1.0,26.0,-0.029090909090909094,3.761904761904762,1242.0,46272.0,3.0,2.0,2.0
0.3636363636363637,1.0,23.0,0.25636363636363635,6.0,1210.0,48137.0,6.0,3.0,5.0
0.09090909090909093,1.0,22.0,0.3959090909090909,6.0,1309.0,61686.0,1.0,1.0,5.0
0.0,1.0,24.0,-0.12681818181818186,5.15,1320.0,47624.0,6.0,2.0,7.0
0.13636363636363635,1.0,23.0,-0.07545454545454547,4.9,1309.0,36673.0,8.0,3.0,7.0
0.09090909090909093,1.0,24.0,0.05590909090909092,6.0,1430.0,16767.0,1.0,2.0,7.0
0.09090909090909093,1.0,27.0,0.3209090909090909,6.142857142857142,1400.0,55138.0,1.0,3.0,6.0
